product,category,price
Asrock RX 6600 8G CHALLENGER D 8gb 128bit GDdr6 Dual Fan Gaming Videocard,Graphic Card,"₱13,250.00"
MSI NVIDIA® GeForce RTX 3060 Ventus 2X OC 12gb 192bit GDdr6 Gaming Videocard LHR,Graphic Card,"₱18,950.00"
"Gigabyte Rx 6600 Eagle GV-R66EAGLE-8GD 8gb 128bit GDdr6, WINDFORCE 3X Cooling System,Integrated w/ 8GB GDDR6 128-bit memory interface Gaming Videocard",Graphic Card,"₱13,795.00"
Galax RTX 4060 8GB 1-Click OC 2X V2 Dual Fan (46NSL8MD9NXV) 128-bit GDDR6 Videocard,Graphic Card,"₱18,550.00"
Biostar Rx 580 VA5805RV82 Dual Cooling Fan 8gb 256bit GDdr5 Gaming Videocard,Graphic Card,"₱6,495.00"
Galax NVIDIA® GeForce GTX 1650 EX Plus 1-Click OC 4gb 128bit GDdr6 Gaming Videocard,Graphic Card,"₱8,450.00"
MSI NVIDIA® GeForce GTX 1650 D6 Ventus XS OC/XC OC V3 4gb 128bit GDdr6 Gaming Videocard,Graphic Card,"₱8,995.00"
Galax NVIDIA® GeForce RTX 3060 1-Click OC 36NOL7MD1VOC 12gb 192bit GDdr6 NVIDIA® G-SYNC VR Ready LHR Gaming Videocard,Graphic Card,"₱17,350.00"
Zotac  NVIDIA® GeForce GTX 1650 ZT-T16520J-10L AMP Core GDDR6 4GB GDDR6 128 bit 4K Ready Gaming Videocard,Graphic Card,"₱7,850.00"
MSI NVIDIA® GeForce RTX 4060TI Ventus 2X OC 8G 128bit GDDR6 Videocard,Graphic Card,"₱25,295.00"
ASUS Dual Radeon RX 6600 DUAL-RX6600-8G-V3 8GB 128-bit GDDR6 Videocard,Graphic Card,"₱13,350.00"
Asus GT730 GT730-SL-2GD5-BRK 2GB 64bit GDdr5 Gaming Videocard,Graphic Card,"₱4,230.00"
Asus NVIDIA® GeForce RTX 3050 Dual OC Edition DUAL-RTX3050-O8G-V2 8gb 128bit GDdr6 Gaming Videocard LHR,Graphic Card,"₱14,495.00"
MSI NVIDIA® GeForce RTX 4060TI Ventus 2X OC 16G 128bit GDDR6 Videocard,Graphic Card,"₱30,450.00"
MSI NVIDIA® GeForce RTX 4060 Ventus 2x OC 8gb 128 bit gddr6 videocard,Graphic Card,"₱19,995.00"
MSI NVIDIA® GeForce RTX 4070 Ti Super Ventus 3X OC 16GB 256-Bit GDDR6X Videocard,Graphic Card,"₱57,150.00"
MSI NVIDIA® GeForce RTX 3050 Ventus 2X XS OC 8GB 128bit GDDR6 Videocard,Graphic Card,"₱13,495.00"
ZOTAC GAMING GeForce RTX 4060 Twin Edge OC ZT-D40600H-10M 8GB 128-bit GDDR6 Videocard,Graphic Card,"₱18,250.00"
Colorful Rtx 3050 NB DUO V2 -V 8G-V 8gb 128bit GDdr6 Gaming Videocard,Graphic Card,"₱14,025.00"
Colorful GeForce GTX 1630 Mini 4GD6-V 4GB GDDR6 64 BIT videocard,Graphic Card,"₱7,525.00"
ASUS Dual Radeon RX 6500XT OC Edition DUAL-RX6500XT-O4G-V2 4GB GDdr6 Gaming Videocard,Graphic Card,"₱9,350.00"
Asrock RX 6600 CHALLENGER White 8gb 128bit GDdr6 Gaming Videocard,Graphic Card,"₱14,195.00"
